year,MSPUS,MEHOINUSA646N
1984,79950.0,22420
1985,84275.0,23620
1986,92025.0,24900
1987,104700.0,26060
1988,112225.0,27230
1989,120425.0,28910
1990,122300.0,29940
1991,119975.0,30130
1992,121375.0,30640
1993,126500.0,31240
1994,130425.0,32260
1995,133475.0,34080
1996,140250.0,35490
1997,145000.0,37010
1998,151925.0,38890
1999,160125.0,40700
2000,167550.0,41990
2001,173100.0,42230
2002,186025.0,42410
2003,192125.0,43320
2004,218150.0,44330
2005,236550.0,46330
2006,243750.0,48200
2007,244950.0,50230
2008,229550.0,50300
2009,215650.0,49780
2010,222700.0,49280
2011,224900.0,50050
2012,244400.0,51020
2013,266225.0,53590
2014,285775.0,53660
2015,294150.0,56520
2016,305125.0,59040
2017,322425.0,61140
2018,325275.0,63180
2019,320250.0,68700
2020,328150.0,68010
2021,383000.0,70780
2022,432950.0,74580
2023,426525.0,80610
2024,418975.0,83730
